FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20
90,0,0.135069062,10.74710813,24.41579028,30.46037828,35.70761241,41.66797787,56.7303259,57.12344391,61.79354025,77.41429166,86.9247626,88.64587169,88.80418589,90.72330279,56.19585527,37.86308816,5.067520195,0.079060999,0.095107453
91,0,0.108788657,12.21672167,23.85611949,30.37037037,35.73794559,41.79022282,54.39831105,55.38292606,61.11225703,76.25180039,85.57552415,88.6604519,89.34696729,90.29997163,58.39197748,44.53214104,6.602042372,0.195092212,0.103033074
92,0,0.081694864,12.00556318,24.85576335,29.81998419,35.32080521,41.45374663,52.95991167,55.45087238,61.11893033,75.49758827,86.37601193,90.76360256,95.20222094,95.86303724,74.53954233,58.16700116,5.762536199,0.168876696,0.139003201
93,0.000609663,0.214521452,10.95587337,26.03017833,32.28784974,36.02004417,43.44306334,53.31298988,56.28624815,61.60547453,74.1790828,84.63647257,86.87189864,89.93235775,92.85235649,64.83097518,51.91948361,9.555433923,0.15933832,0.114289207
94,0,0.127419601,9.555435742,25.18091754,32.00328407,34.52593809,43.23779669,53.56232862,56.00596957,62.07078551,76.4351128,86.61446794,90.76480993,93.26612709,94.30713741,68.97643719,52.86891213,7.20926688,0.126809938,0.068891937
95,0,0.07945239,8.557371826,23.14098461,29.59861339,32.79562717,42.2773871,53.79771409,56.0138562,62.06351896,77.19575729,88.12187215,91.5266618,93.93862937,94.9682763,76.65012497,56.54320988,6.095412285,0.063404969,0.100594422
96,0.000611172,0.206576213,10.45287862,24.53612028,30.93474427,34.69987229,41.82276983,51.52090563,55.99080298,61.3743357,77.09178054,88.41586729,91.13853158,93.13364166,95.33532637,73.50310454,52.40481448,5.500990703,0.082304527,0.103033074
97,0,0.08291419,9.030977355,23.71772596,28.7825475,33.74384236,41.89007637,51.50937902,56.3476598,62.85398821,81.05029309,90.40742775,93.23267874,95.49971094,97.09023296,82.96973962,67.14127982,13.2528578,0.406251901,0.083523853
98,0,0.179684635,9.891211343,23.93842402,30.20251779,33.39597397,40.51330775,50.81232255,55.23854012,61.44652867,77.17045303,89.73808112,93.05535482,96.9026336,97.93901563,87.72294887,79.59851003,23.4092364,0.881572931,0.08495294
99,0.002438653,0.267693436,7.588104107,22.47402518,27.56613757,30.56917178,39.53479949,49.89868718,52.28590842,59.97476279,76.4218317,89.44334104,92.86563758,97.14795009,99.22598371,95.84669757,92.12430822,33.14906039,1.234567901,0.109739369
100,0,0.112178022,5.199242146,15.77381497,20.12970468,21.70346044,30.08799216,39.64849911,43.50384625,50.79217148,71.87700464,84.11158534,88.54302163,92.23495771,96.22998026,89.17348152,87.96622097,27.4488645,2.27770157,0.07133059
101,0,0.043500637,6.216843907,19.16841945,26.06797744,29.61381743,38.22756926,52.90895193,54.65310976,63.22587299,83.28277803,89.22963616,91.22645373,96.63565732,99.40668301,95.40027664,96.02696013,32.9860731,0.468830971,0.085564112
102,0,0.015890478,5.462581923,19.06233806,24.68830971,28.64362154,37.47179014,52.15365575,53.19893713,62.14115848,82.79130003,90.28186104,91.02268358,96.55658332,99.55338231,96.60875052,95.98267369,41.49790184,0.501143118,0.072549916
103,0,0.035535732,4.895489549,18.80079256,24.44322512,28.36940959,36.80810017,50.36399816,51.93525686,60.8295518,81.95131988,90.94358577,93.36549116,97.83880374,99.68696159,97.66705801,96.87100894,52.37205465,1.416247523,0.064624295
104,0.000611172,0.014704441,6.757506478,21.11294463,26.49151615,30.76871617,39.02639765,53.67456138,54.91033512,63.67025333,82.34548278,90.81793431,94.5321511,98.26983562,99.6701807,97.77961125,95.98510034,62.17965092,1.558717995,0.099984758
105,0,0.0220022,3.731817626,16.21582076,19.47020271,25.9281953,35.17435512,52.72513286,55.94166323,67.91234924,90.790477,96.27646409,98.76547671,99.60254372,99.94311374,98.99233177,98.07687641,75.01307547,4.085352843,0.146928822
106,0,0.00612685,1.545496113,9.572321292,12.71940253,17.70236575,28.13341746,45.17156446,50.93001529,63.79977675,88.3757189,95.40655241,98.3746447,99.68246111,99.88655391,99.63084446,99.53597275,85.58535547,7.252552964,0.097546106
