FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
73,-0.017591417,-0.014801796,0.005697047,0.043440856,0.054109149,0.076886415,0.091420539,0.106430225,0.12542972,0.157756999,0.228034839,0.266824365,0.285595834,0.270044863,0.288085699,0.225290164,0.181054905,0.091351263,-0.019456638,-0.033064771,-0.00738707
74,-0.019292397,-0.015634377,0.002876975,0.043686274,0.051619958,0.074249774,0.092276447,0.110566638,0.131345242,0.16041854,0.242303327,0.274012506,0.294161052,0.291124701,0.292627811,0.214470938,0.172244683,0.078245953,-0.016445536,-0.035357229,-0.012154551
75,-0.019193171,-0.011491437,0.004227825,0.038237769,0.048716236,0.070874102,0.09168753,0.107425436,0.131603152,0.161800116,0.236389592,0.277444094,0.28541705,0.266460478,0.266483009,0.17598629,0.122462995,0.032083355,-0.028335057,-0.032934461,-0.005133002
76,-0.020878056,-0.011966428,0.002639381,0.033864401,0.049254801,0.072034456,0.090321109,0.10284815,0.129558712,0.165230244,0.255758524,0.283495396,0.297182739,0.293675274,0.278121561,0.178449988,0.137746796,0.046842214,-0.028327176,-0.033388209,-0.00856211
77,-0.017010165,-0.010900751,-0.00081351,0.036758278,0.050376333,0.072201006,0.085355364,0.105350882,0.129746184,0.153483495,0.246755779,0.273415953,0.287758529,0.294870973,0.289996356,0.214611799,0.16745393,0.064558968,-0.024296369,-0.02926497,-0.007352861
78,-0.015761498,-0.008596888,0.002288859,0.035171092,0.047001768,0.067623444,0.086400464,0.100146651,0.122019418,0.14579311,0.228364021,0.262075037,0.282150209,0.286773682,0.28046295,0.206972227,0.169334859,0.064791694,-0.022359079,-0.032858025,-0.006637891
79,-0.018342383,-0.009657498,0.00259749,0.034484044,0.052210923,0.068989858,0.087063894,0.098290846,0.125963196,0.151299134,0.225192994,0.268823594,0.284439594,0.28181091,0.277914643,0.214345321,0.177163303,0.078246079,-0.017850086,-0.030514373,-0.0076526
80,-0.018737659,-0.015067049,-0.00127017,0.031294614,0.047947127,0.068545662,0.083717242,0.098577216,0.123047292,0.149371341,0.22113356,0.266729563,0.288330764,0.277718455,0.285700917,0.222746208,0.183779404,0.086228959,-0.013802784,-0.030154716,-0.005199872
81,-0.019811971,-0.015299479,-0.000660067,0.033139311,0.044013225,0.068863735,0.086366542,0.096087001,0.120190576,0.143065557,0.217347264,0.268193662,0.289434552,0.274592996,0.282049716,0.225151256,0.193214148,0.094359592,-0.011241356,-0.026621014,-0.008042541
82,-0.022108447,-0.014722049,0.003630924,0.03586217,0.046660293,0.06509643,0.07949847,0.091854058,0.116953641,0.139777184,0.216065481,0.261521876,0.276170939,0.265702337,0.270851105,0.211317688,0.170086011,0.073356092,-0.020957209,-0.030121487,-0.005449988
83,-0.019901272,-0.013475661,0.004371973,0.036338493,0.050190929,0.071585543,0.083528034,0.093460053,0.117126971,0.14010708,0.215935424,0.262677878,0.280860305,0.270497113,0.2749933,0.219818398,0.183342963,0.081760466,-0.020823499,-0.02770263,-0.003157205
84,-0.020878125,-0.01304424,0.00539858,0.032643583,0.047307622,0.070395298,0.083255567,0.098101445,0.119825214,0.148900658,0.225355253,0.264625877,0.289349318,0.273668826,0.266514361,0.20433268,0.153850496,0.05996668,-0.023289839,-0.027715987,-0.003977752
85,-0.019639838,-0.011927783,0.003565502,0.038693327,0.048392922,0.066923857,0.086265564,0.099243991,0.117613547,0.142170608,0.216633797,0.256887645,0.272735029,0.254386097,0.241393819,0.167178974,0.110086612,0.020863257,-0.026886601,-0.024160679,-0.000898803
86,-0.020306468,-0.012897739,-0.002917048,0.035743732,0.052491929,0.07275445,0.084913298,0.099360645,0.122384079,0.146593481,0.222841322,0.274057865,0.277456343,0.250797272,0.235592902,0.137396455,0.08894217,0.011033478,-0.034577135,-0.025225898,-0.008842473
87,-0.023440477,-0.01278615,0.001352386,0.036682617,0.048732895,0.069446407,0.087539181,0.097987086,0.12053398,0.145503446,0.213079914,0.258811295,0.273634046,0.235939741,0.232906073,0.139811605,0.098435305,0.01738671,-0.031885933,-0.029474225,-0.016314076
88,-0.021902828,-0.010075145,0.00283679,0.039410494,0.053705748,0.070767298,0.088623837,0.098991252,0.118822895,0.14194797,0.208653063,0.254256517,0.264541775,0.231941998,0.226092115,0.134439886,0.084729739,0.011749985,-0.032869522,-0.028320566,-0.020946229
89,-0.021096075,-0.00962341,0.000619385,0.037235636,0.05018634,0.062756293,0.087954968,0.098710291,0.120044723,0.139208853,0.198574811,0.251650423,0.25259921,0.216703296,0.210857958,0.121492051,0.074123353,0.013151445,-0.030228926,-0.026145725,-0.024625424
90,-0.019842332,-0.015731007,-0.00093663,0.0342637,0.046541352,0.066467598,0.083245799,0.103970684,0.118531793,0.136500165,0.198199302,0.243689209,0.247432217,0.217132047,0.223895013,0.125670388,0.070324697,0.01026901,-0.032649163,-0.027302481,-0.021758759
91,-0.02018767,-0.016308846,0.003919856,0.033469103,0.047576047,0.066410139,0.083165385,0.097904488,0.111254558,0.133220538,0.199492484,0.23795931,0.254407227,0.220671818,0.222117215,0.125062421,0.077203572,0.010575377,-0.029877719,-0.025799934,-0.019843007
92,-0.022513438,-0.013221345,0.003966721,0.036462974,0.044136167,0.065992489,0.08133474,0.093578681,0.112214185,0.137400195,0.196455792,0.240497559,0.265706509,0.239673495,0.244524986,0.16133289,0.102988563,0.014940352,-0.028205214,-0.024582524,-0.016798005
93,-0.021008488,-0.014924628,-0.001754549,0.037521381,0.050738398,0.066432282,0.086300321,0.095144048,0.116471514,0.134805113,0.19912529,0.236891434,0.253057718,0.220691934,0.225501657,0.133970544,0.090549678,0.019888267,-0.030499751,-0.027700257,-0.017527618
94,-0.02335996,-0.012639324,-0.003433463,0.036274526,0.049279265,0.06111617,0.082522236,0.096071407,0.11332389,0.135428414,0.205205262,0.243281782,0.263447076,0.227142051,0.233457312,0.144168004,0.091595031,0.015388485,-0.028216381,-0.031314306,-0.018318618
95,-0.02101095,-0.014136429,-0.005284847,0.030308697,0.043939985,0.056617826,0.080685273,0.09855362,0.114497378,0.136781305,0.207223609,0.25585261,0.275598288,0.23100841,0.241563797,0.161459044,0.10337314,0.014554223,-0.033364143,-0.030690232,-0.019598549
96,-0.024303647,-0.011210038,-0.002585508,0.033271994,0.048031453,0.061598908,0.084183477,0.089460626,0.115885265,0.136313438,0.210797817,0.260715425,0.274043977,0.226485059,0.250375926,0.159040228,0.094945088,0.016574422,-0.033656921,-0.032282472,-0.020637538
97,-0.024384303,-0.014832668,-0.001279484,0.031902485,0.040834568,0.059101742,0.081715077,0.09074647,0.119444318,0.141755104,0.229136884,0.272058576,0.299422473,0.261574805,0.275874168,0.19362241,0.127635181,0.033407871,-0.031196993,-0.031970374,-0.018611696
98,-0.019625537,-0.013652599,8.83E-05,0.033998571,0.045941409,0.060030516,0.07883624,0.092161454,0.110059649,0.133433595,0.214080065,0.265385836,0.29891336,0.27151987,0.277786702,0.201505363,0.149640039,0.051825762,-0.022283506,-0.031261642,-0.02332812
99,-0.02386356,-0.012385267,-0.003527088,0.031852216,0.040138237,0.054236189,0.069792904,0.089202158,0.102221929,0.1297573,0.205190092,0.259143561,0.287171215,0.27075389,0.284595817,0.22480692,0.178716183,0.07199081,-0.019997593,-0.02683536,-0.022430865
