FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
3288,0,0.018238497,0.086312342,0.111942482,0.212820578,0.209366751,0.34510994,0.41100812,0.517505074,0.696703148,0.75809741,0.840757275,0.861655283,0.906134367,0.732212067,0.80103302,0.809776449,0.589699602,0.508170176,0.664862967,0.050856066
3289,0,0.019299603,0.087308121,0.109561396,0.212722206,0.21662631,0.35022459,0.418935251,0.518605137,0.697091198,0.746238375,0.818644285,0.833159351,0.861253166,0.692064619,0.751672554,0.755094099,0.55014801,0.488146639,0.629420471,0.049169636
3290,0,0.018202209,0.087552166,0.107645988,0.208297014,0.202428436,0.339818096,0.403795338,0.508873463,0.695223141,0.745555115,0.827248096,0.836681604,0.88030653,0.713661337,0.782646561,0.781888008,0.578016758,0.487504435,0.621973133,0.046038723
3291,0,0.016147804,0.091408873,0.107169437,0.20953083,0.205935431,0.34033618,0.410590267,0.509132338,0.690092993,0.751696777,0.8345222,0.841486931,0.887802315,0.719902229,0.789252567,0.78395977,0.575468493,0.488586998,0.597860384,0.046491671
3292,0,0.015843391,0.09013567,0.111434507,0.215267992,0.216832304,0.353636456,0.409807587,0.507771635,0.70516777,0.751730394,0.829114151,0.833394718,0.884676981,0.71809206,0.788341665,0.785509253,0.573139334,0.490120649,0.588808632,0.049290752
3293,0,0.015253639,0.091995382,0.10735445,0.213517427,0.215397835,0.340806246,0.394970989,0.500136471,0.696511507,0.742430162,0.825996256,0.824624252,0.873852634,0.707812929,0.769604349,0.769558287,0.556270361,0.480096722,0.601690292,0.045891047
3294,0,0.017431974,0.090269089,0.107528734,0.21181798,0.206415176,0.341440773,0.399436665,0.50409708,0.700425434,0.745570326,0.827293444,0.827147484,0.882254601,0.719595003,0.798499918,0.800824118,0.570680189,0.487343931,0.616993618,0.047377014
3295,0,0.015971184,0.089343071,0.107222366,0.210160255,0.203097486,0.339017868,0.401541996,0.498141289,0.702390575,0.755783653,0.84390111,0.845383549,0.883777189,0.732914782,0.79690032,0.795202875,0.571532726,0.486194515,0.627059746,0.050700283
3296,0,0.016541672,0.092523098,0.112920284,0.222234726,0.209752226,0.351541615,0.422893238,0.512922049,0.70673008,0.756399918,0.838326836,0.848088264,0.875439835,0.735840225,0.803887939,0.80214982,0.57261405,0.495815611,0.627804136,0.048063326
3297,0,0.017121315,0.094344187,0.115317631,0.226895046,0.204439259,0.354025555,0.424249172,0.518377304,0.715264797,0.79184823,0.876089048,0.878165531,0.927479887,0.783161116,0.858648539,0.862888956,0.637553549,0.521196127,0.663024902,0.052933884
3298,0,0.018673325,0.09436059,0.117394638,0.226378727,0.205873108,0.348379326,0.416398382,0.506781864,0.698884249,0.766584396,0.856245565,0.860036993,0.902224684,0.761656761,0.831738997,0.83556509,0.626689482,0.513525963,0.669075632,0.057389259
3299,0,0.016718483,0.088426638,0.108052921,0.218145657,0.189709902,0.339091539,0.427250147,0.511669827,0.713405752,0.782208872,0.867823172,0.889152384,0.936914635,0.795260763,0.888213158,0.896821785,0.678511286,0.522877884,0.695111322,0.059904289
3300,0,0.015890217,0.093473577,0.117581415,0.228847504,0.205725288,0.343676043,0.411533403,0.516127777,0.71077857,0.780124998,0.855336428,0.866009426,0.907693005,0.762958479,0.833994675,0.853626299,0.649955893,0.513730049,0.64943018,0.052573204
3301,0,0.016269112,0.087141275,0.110407829,0.218781328,0.199839735,0.331557417,0.412149811,0.506764936,0.723687983,0.796401167,0.879305983,0.896145821,0.928511381,0.786236858,0.854179716,0.866202974,0.67220006,0.533813047,0.652864504,0.061480141
